input_date,daily_dist_mrv,daily_voyage_time_mrv,daily_speed_mrv,daily_fuel_mrv,num
2021-01-02 04:00:00+00:00,169.0,13.0,13.0,41.39,1
2021-01-03 04:00:00+00:00,128.0,9.4,13.62,34.59,1
2021-01-04 04:00:00+00:00,335.0,24.0,13.96,71.4,1
2021-01-05 04:00:00+00:00,311.0,24.0,12.96,71.83,1
2021-01-06 04:00:00+00:00,335.0,24.0,13.96,70.86,1
2021-01-07 04:00:00+00:00,287.0,21.0,13.67,53.23,1
2021-01-08 04:00:00+00:00,78.0,6.1,12.79,21.16,1
2021-01-09 04:00:00+00:00,244.0,19.5,12.51,44.42,1
2021-01-10 04:00:00+00:00,287.0,24.0,11.96,53.37,1
2021-01-12 04:00:00+00:00,325.0,24.0,13.54,46.84,1
2021-01-13 04:00:00+00:00,164.0,12.0,13.67,26.67,1
2021-01-14 04:00:00+00:00,0.0,0.0,,8.72,1
2021-01-15 04:00:00+00:00,0.0,0.0,,9.04,1
2021-01-16 04:00:00+00:00,0.0,0.0,,9.11,1
2021-01-17 04:00:00+00:00,17.0,1.4,12.14,12.33,1
2021-01-18 04:00:00+00:00,0.0,0.0,,8.67,1
2021-01-19 04:00:00+00:00,0.0,0.0,,9.12,1
2021-01-20 04:00:00+00:00,0.0,0.0,,8.82,1
2021-01-21 04:00:00+00:00,48.0,3.9,12.31,18.5,1
2021-01-22 04:00:00+00:00,100.0,7.9,12.66,23.75,1
2021-01-23 04:00:00+00:00,73.0,5.2,14.04,21.49,1
2021-01-24 04:00:00+00:00,280.0,20.5,13.66,45.63,1
2021-01-25 04:00:00+00:00,122.0,9.3,13.12,25.19,1
2021-01-26 04:00:00+00:00,45.0,3.7,12.16,17.54,1
2021-01-27 04:00:00+00:00,66.0,4.4,15.0,23.91,1
2021-01-28 04:00:00+00:00,336.0,24.0,14.0,56.43,1
2021-01-29 04:00:00+00:00,96.0,9.0,10.67,22.77,1
2021-01-30 04:00:00+00:00,383.0,24.0,15.96,79.48,1
2021-01-31 04:00:00+00:00,387.0,24.0,16.13,82.53,1
2021-02-01 04:00:00+00:00,389.0,24.0,16.21,82.21,1
2021-02-02 04:00:00+00:00,401.0,24.0,16.71,83.16,1
2021-02-03 04:00:00+00:00,88.0,5.8,15.17,24.32,1
2021-02-04 04:00:00+00:00,93.0,7.2,12.92,25.13,1
2021-02-05 04:00:00+00:00,300.0,23.1,12.99,47.36,1
2021-02-06 04:00:00+00:00,120.0,9.0,13.33,27.22,1
2021-02-07 04:00:00+00:00,74.0,6.1,12.13,17.91,1
2021-02-08 04:00:00+00:00,203.0,12.9,15.74,47.44,1
2021-02-09 04:00:00+00:00,383.0,24.0,15.96,81.87,1
2021-02-10 04:00:00+00:00,384.0,24.0,16.0,83.1,1
2021-02-11 04:00:00+00:00,345.0,24.0,14.38,77.38,1
2021-02-12 04:00:00+00:00,295.0,22.5,13.11,50.14,1
2021-02-13 04:00:00+00:00,130.0,10.5,12.38,30.26,1
2021-02-14 04:00:00+00:00,321.0,24.0,13.38,49.28,1
2021-02-15 04:00:00+00:00,333.0,24.0,13.88,47.65,1
2021-02-16 04:00:00+00:00,317.0,24.0,13.21,48.61,1
2021-02-17 04:00:00+00:00,286.0,23.4,12.22,50.56,1
2021-02-18 04:00:00+00:00,0.0,0.0,,9.56,1
2021-02-19 04:00:00+00:00,0.0,0.0,,9.53,1
2021-02-20 04:00:00+00:00,16.0,1.4,11.43,14.17,1
2021-02-21 04:00:00+00:00,0.0,0.0,,9.01,1
2021-02-22 04:00:00+00:00,0.0,0.0,,8.83,1
2021-02-23 04:00:00+00:00,148.0,11.0,13.45,27.48,1
2021-02-24 04:00:00+00:00,75.0,5.3,14.15,16.7,1
2021-02-25 04:00:00+00:00,335.0,23.5,14.26,50.31,1
2021-02-26 04:00:00+00:00,105.0,7.8,13.46,19.81,1
2021-02-27 04:00:00+00:00,70.0,4.7,14.89,18.65,1
2021-02-28 04:00:00+00:00,350.0,24.0,14.58,65.7,1
2021-03-01 04:00:00+00:00,72.0,6.8,10.59,16.99,1
2021-03-02 04:00:00+00:00,285.0,17.6,16.19,54.73,1
2021-03-03 04:00:00+00:00,382.0,24.0,15.92,61.77,1
2021-03-04 04:00:00+00:00,378.0,24.0,15.75,69.81,1
2021-03-05 04:00:00+00:00,375.0,24.0,15.63,63.31,1
2021-03-06 04:00:00+00:00,205.0,14.7,13.95,33.13,1
2021-03-07 04:00:00+00:00,10.0,1.2,8.33,13.68,1
2021-03-10 04:00:00+00:00,139.0,12.7,10.94,19.14,1
2021-03-11 04:00:00+00:00,69.0,6.1,11.31,15.71,1
2021-03-12 04:00:00+00:00,130.0,11.1,11.71,19.99,1
2021-03-13 04:00:00+00:00,50.0,3.9,12.82,16.88,1
2021-03-14 04:00:00+00:00,351.0,24.0,14.63,56.18,1
2021-03-15 04:00:00+00:00,345.0,24.0,14.38,62.31,1
2021-03-16 04:00:00+00:00,334.0,24.0,13.92,57.77,1
2021-03-17 04:00:00+00:00,321.0,24.0,13.38,47.15,1
2021-03-18 04:00:00+00:00,254.0,19.6,12.96,37.48,1
2021-03-19 04:00:00+00:00,55.0,4.2,13.1,17.03,1
2021-03-20 04:00:00+00:00,303.0,20.0,15.15,47.19,1
2021-03-21 04:00:00+00:00,327.0,24.0,13.63,50.07,1
