,SOG,heading,draught,wind_val,wind_direction,wave_val,wave_direction,stream_val,stream_direction,R_added
0,13.15,27.0,13.3,11.17,42.0,3.07,37.0,0.74,231.0,501.1830051836523
2,13.466666666666669,27.0,13.300000000000002,11.02,38.0,3.06,36.0,0.67,239.0,479.42475622397353
3,13.566666666666668,28.0,13.300000000000002,11.27,37.0,3.16,37.0,0.65,240.0,465.7947165111685
4,13.766666666666666,30.0,13.300000000000002,11.003333333333332,34.666666666666664,3.23,37.66666666666666,0.51,246.66666666666663,481.3176103303531
5,14.05,30.0,13.3,10.97,35.0,3.21,38.5,0.4449999999999999,252.0,454.68282953948335
7,14.566666666666665,27.0,13.300000000000002,11.1,28.0,3.083333333333333,39.333333333333336,0.31,255.0,398.22755885618665
8,14.4,30.0,13.300000000000002,11.04,28.0,3.0499999999999994,40.0,0.25,259.0,449.3985196981206
9,14.366666666666667,27.0,13.300000000000002,11.1,33.0,2.783333333333333,40.0,0.1833333333333333,185.66666666666663,453.5097196776805
10,14.466666666666669,26.666666666666668,13.300000000000002,10.9,38.0,2.763333333333333,41.333333333333336,0.2333333333333333,175.66666666666666,421.5650859967884
11,14.6,27.0,13.300000000000002,11.066666666666668,38.66666666666666,2.77,41.333333333333336,0.2866666666666667,161.0,394.7169790978054
12,14.44,25.6,13.3,11.35,38.0,2.76,42.0,0.34,219.0,375.1612308494872
13,14.04,27.0,13.3,11.154,40.2,2.83,44.6,0.33,205.8,457.0230998637609
14,13.78,28.8,13.3,11.239999999999998,41.6,2.806,44.2,0.366,203.6,496.2271811278733
15,13.866666666666667,24.666666666666668,13.300000000000002,11.72,43.0,2.93,46.0,0.4000000000000001,237.0,489.08778995410114
17,13.9,35.333333333333336,13.300000000000002,11.726666666666668,43.66666666666666,2.896666666666667,47.333333333333336,0.55,263.6666666666667,471.3800563449328
21,16.3,208.0,13.9,0.0,0.0,0.0,0.0,0.0,0.0,299.2334395944047
22,16.15,207.0,13.9,6.07,58.0,2.51,58.0,0.36,251.0,441.3827528800707
24,16.1,207.5,13.9,5.35,57.0,2.39,56.0,0.41,272.0,417.64515783639774
25,16.45,207.5,13.9,5.369999999999999,48.5,2.265,54.0,0.36,282.5,306.1166342533704
26,16.0,207.66666666666663,13.9,5.323333333333333,45.333333333333336,2.2566666666666664,53.0,0.3133333333333333,286.0,391.7556327060055
27,16.4,210.0,13.9,5.06,41.0,2.26,52.0,0.15,344.0,231.84130041406863
29,16.74,24.8,14.1,5.828,18.8,1.392,37.0,0.0679999999999999,268.4,196.90627672098665
30,16.540000000000003,26.0,14.1,5.744,14.0,1.4,37.2,0.194,248.4,192.4852812498548
31,16.2,25.5,14.1,8.903333333333334,353.0,1.4233333333333331,37.0,0.2133333333333333,188.0,242.50443834402336
32,15.76,25.2,14.1,8.922,353.6,1.426,37.6,0.3019999999999999,171.8,319.5351474225281
33,15.2,22.4,14.1,8.99,350.0,1.43,39.0,0.44,167.0,396.82880576692094
34,15.2,25.0,14.1,10.55,351.0,1.72,28.0,0.51,176.0,359.80402389404094
35,15.15,25.0,14.1,10.54,349.0,1.75,31.0,0.41,195.0,388.63906482173127
36,14.95,25.25,14.1,10.555,348.25,1.8325,28.75,0.44,209.25,417.1834189437035
37,14.725,26.75,14.1,11.265,350.75,2.27,16.75,0.435,243.5,503.6651894864384
38,15.25,25.25,14.1,11.4375,349.25,2.3675,13.75,0.36,239.0,410.9903760921386
39,15.733333333333334,25.0,14.1,10.44,359.0,2.7000000000000006,9.0,0.07,123.0,428.20988864869446
40,15.566666666666668,25.33333333333333,14.1,10.373333333333331,1.6666666666666667,2.733333333333334,10.666666666666666,0.0999999999999999,75.66666666666667,495.0274767284896
